address,text,category
0x0021CE58,"E02080840 ADXT_SetSvrFreq: parameter error","OTHER"
0x0021CE88,"E02080838 ADXT_SetReloadTime: parameter error","OTHER"
0x0021CEB8,"E02080839 ADXT_SetReloadSct: parameter error","OTHER"
0x0021CEE8,"E02080834 ADXT_GetNumSctIbuf: parameter error","OTHER"
0x0021CF18,"E02080837 ADXT_GetNumSmplObuf: parameter error","OTHER"
0x0021CF48,"E02080835 ADXT_GetIbufRemainTime: parameter error","OTHER"
0x0021CF80,"E02080836 ADXT_IsIbufSafety: parameter error","OTHER"
0x0021CFB0,"E02080802 ADXT_IsCompleted: parameter error","OTHER"
0x0021CFE0,"E02080843 ADXT_GetErrCode: parameter error","OTHER"
0x0021D010,"E02080844 ADXT_ClearErrCode: parameter error","OTHER"
0x0021D040,"E02080829 ADXT_GetLpCnt: parameter error","OTHER"
0x0021D070,"E02080828 ADXT_SetLpFlg: parameter error","OTHER"
0x0021D0A0,"E02080833 ADXT_GetInputSj: parameter error","OTHER"
0x0021D0D0,"E02080830 ADXT_SetWaitPlayStart: parameter error","OTHER"
0x0021D108,"E02080831 ADXT_IsReadyPlayStart: parameter error","OTHER"
0x0021D140,"E02080846 ADXT_Pause: parameter error","OTHER"
0x0021D168,"E02080847 ADXT_GetStatPause: parameter error","OTHER"
0x0021D198,"E02080818 ADXT_GetDecNumSmpl: parameter error","OTHER"
0x0021D1C8,"E02080860 ADXT_SetKeyString: parameter error","OTHER"
0x0021D1F8,"E02080811 ADXT_StartAfs: parameter error","OTHER"
0x0021D228,"E8101202 ADXT_StartAfs: can't open ","OTHER"
0x0021D250,"E02080807 ADXT_StartFname: parameter error","OTHER"
0x0021D280,"E02080809 ADXT_StartMem2: parameter error","OTHER"
0x0021D2B0,"E8101207: can't create sj (ADXT_StartMem)
","OTHER"
0x0021D2E0,"E02080810 ADXT_StartMemIdx: parameter error","OTHER"
0x0021D310,"E8101207: can't create sj (ADXT_StartMemIdx)","OTHER"
0x0021D340,"E8101201 adxt_trap_entry: not enough data","OTHER"
0x0021D370,"E9081001 adxt_stat_decinfo: can't play this number of channels","OTHER"
0x0021D3C8,"E02080842 ADXT_ExecHndl: parameter error","OTHER"
0x0021D3F8,"
CVFS/PS2EE Ver.2.34 Build:Jul 28 2003 17:50:08
","OTHER"
0x0021D430,"cvFsAddDev #1:illegal device name","OTHER"
0x0021D458,"cvFsAddDev #2:illegal I/F func name","OTHER"
